name,state,latitude,longitude,population,timezone,search_name
Mumbai,Maharashtra,19.07283,72.88261,12691836,Asia/Kolkata,mumbai maharashtra
Delhi,Delhi,28.65195,77.23149,11034555,Asia/Kolkata,delhi delhi
Bengaluru,Karnataka,12.97194,77.59369,8495492,Asia/Kolkata,bengaluru karnataka
Hyderabad,Telangana,17.38405,78.45636,6993262,Asia/Kolkata,hyderabad telangana
Ahmedabad,Goa,23.02579,72.58727,6357693,Asia/Kolkata,ahmedabad goa
Chennai,Tamil Nadu,13.08784,80.27847,4681087,Asia/Kolkata,chennai tamil nadu
Kolkata,West Bengal,22.56263,88.36304,4631392,Asia/Kolkata,kolkata west bengal
Surat,Goa,21.19594,72.83023,4591246,Asia/Kolkata,surat goa
Pune,Maharashtra,18.51957,73.85535,3124458,Asia/Kolkata,pune maharashtra
Jaipur,Rajasthan,26.91962,75.78781,3046163,Asia/Kolkata,jaipur rajasthan
Kanpur,Uttar Pradesh,26.46523,80.34975,2823249,Asia/Kolkata,kanpur uttar pradesh
Navi Mumbai,Maharashtra,19.03681,73.01582,2600000,Asia/Kolkata,navi mumbai maharashtra
Lucknow,Uttar Pradesh,26.83928,80.92313,2472011,Asia/Kolkata,lucknow uttar pradesh
Nagpur,Maharashtra,21.14631,79.08491,2405665,Asia/Kolkata,nagpur maharashtra
Coimbatore,Tamil Nadu,11.00555,76.96612,2136916,Asia/Kolkata,coimbatore tamil nadu
Indore,Madhya Pradesh,22.71792,75.8333,1994397,Asia/Kolkata,indore madhya pradesh
Thāne,Maharashtra,19.19704,72.96355,1841488,Asia/Kolkata,thāne maharashtra
Vadodara,Goa,22.29941,73.20812,1822221,Asia/Kolkata,vadodara goa
Bhopal,Madhya Pradesh,23.25469,77.40289,1798218,Asia/Kolkata,bhopal madhya pradesh
Rasapūdipalem,Andhra Pradesh,17.73308,83.31622,1728128,Asia/Kolkata,rasapūdipalem andhra pradesh
Pimpri-Chinchwad,Maharashtra,18.61867,73.80375,1727692,Asia/Kolkata,pimpri-chinchwad maharashtra
Patna,Bihar,25.59408,85.13563,1684297,Asia/Kolkata,patna bihar
Kallakurichi,Tamil Nadu,11.73379,78.95925,1682687,Asia/Kolkata,kallakurichi tamil nadu
Ludhiana,Punjab,30.91204,75.85379,1618879,Asia/Kolkata,ludhiana punjab
Nashik,Maharashtra,19.99727,73.79096,1486053,Asia/Kolkata,nashik maharashtra
Madurai,Tamil Nadu,9.919,78.11953,1465625,Asia/Kolkata,madurai tamil nadu
Tirunelveli,Tamil Nadu,8.72742,77.6838,1435844,Asia/Kolkata,tirunelveli tamil nadu
Agra,Uttar Pradesh,27.18333,78.01667,1430055,Asia/Kolkata,agra uttar pradesh
Faridabad,Gujarat,28.41124,77.31316,1414050,Asia/Kolkata,faridabad gujarat
Rājkot,Goa,22.29161,70.79322,1390640,Asia/Kolkata,rājkot goa
Najafgarh,Delhi,28.60922,76.97982,1365000,Asia/Kolkata,najafgarh delhi
Jamshedpur,Unknown,22.80278,86.18545,1339438,Asia/Kolkata,jamshedpur unknown
Gorakhpur,Gujarat,29.44768,75.67206,1324570,Asia/Kolkata,gorakhpur gujarat
Pimpri,Maharashtra,18.62292,73.80696,1284606,Asia/Kolkata,pimpri maharashtra
Kalyān,Maharashtra,19.2437,73.13554,1262255,Asia/Kolkata,kalyān maharashtra
Dombivali,Maharashtra,19.21667,73.08333,1247327,Asia/Kolkata,dombivali maharashtra
Meerut,Uttar Pradesh,28.98002,77.70636,1223184,Asia/Kolkata,meerut uttar pradesh
Virār,Maharashtra,19.45591,72.81136,1222390,Asia/Kolkata,virār maharashtra
